# Column     -  Units  - Description
# IDcand     -         - Stream Candidate ID    
# CSS-SSS-ID -         - Catalina object ID         
# RAJ2000    -  deg    - J2000 right ascension      
# DEJ2000    -  deg    - J2000 declination      
# Rhel       -  kpc    - heliocentric distance     
# Rgal       -  kpc    - galactocentric distance (assuming Xsun=-8.5kpc)     
# Period     -  d      - Light curve period   
# AmpV       -  mag    - Light curve amplitude     
# FeH        -  dex    - Metallicity     
# flag       -         - FeH flag (0=metallicity from Drake+2013, 1=photometric metallicity computed in this paper)   
# pmRA       -  mas/yr - HSOY Proper motion in RA*cos(DE)        
# epmRA      -  mas/yr - pmRA error        
# pmDE       -  mas/yr - HSOY Proper motion in declination        
# epmDE      -  mas/yr - pmDE error        
# HSOY-ID    -         - HSOY object ID               
# IDcand   CSS-SSS-ID         RAJ2000     DEJ2000     Rhel    Rgal   Period    AmpV    FeH      flag   pmRA    epmRA   pmDE    epmDE   HSOY-ID
  09.0-1   J133843.2-150832   204.68008   -15.14264   11.25   9.9    0.58791   0.6     -1.64    0      1.3     2.3     0.5     2.3     3.9261356410378798E18   
  09.0-1   J134904.1-192333   207.26689   -19.39261   11.09   9.23   0.53989   0.96    -1.74    0      -3.3    2.1     -3.4    2.1     3.9660433017160182E18   
  09.0-1   J135313.6-201900   208.30655   -20.31677   11.72   9.47   0.64506   0.44    -1.0     0      -0.7    2.2     -3.1    2.2     3.9658481182895857E18   
  09.0-1   J135146.3-233342   207.94284   -23.56153   12.33   9.79   0.61628   0.5     -1.24    0      -6.7    2.2     0.7     2.1     3.9632725426293944E18   
  09.0-1   J203641.2-232309   309.17174   -23.38596   14.82   9.74   0.71171   0.67    -2.15    0      -0.7    2.2     -3.8    2.2     5.0384121694592113E18   
  09.0-1   J203617.5-232244   309.07291   -23.37902   14.46   9.43   0.569     0.76    -1.43    0      2.8     2.2     -4.4    2.2     5.0376609312567849E18   
  09.0-1   J203050.3-244131   307.70941   -24.69192   14.82   9.51   0.54445   0.91    -1.44    0      -1.4    2.2     -6.0    2.2     5.0357077095843707E18   
  09.0-1   J140701.7-274109   211.75729   -27.6859    12.4    9.17   0.56668   0.64    -1.36    0      -2.3    2.2     -1.8    2.2     3.8656193653331528E18   
  09.0-1   J203025.8-261714   307.60754   -26.2873    15.22   9.78   0.55207   0.96    -1.62    0      -1.4    2.2     -7.4    2.2     5.0350999241819976E18   
  09.0-1   J140543.8-291827   211.43238   -29.30745   13.44   9.93   0.53134   1.03    -1.35    0      -5.0    2.3     -0.9    2.3     3.8589981402257475E18   
